#,word,class,english,file name,eka done,dva done,bahu done,notes,ask for (eka),ask for (dva),ask for (bahu)
14,पौत्र,अकारान्त पुं,grandson / grandsons,pautra,,,,,Draw: one grandson.,"Draw: exactly two grandsons, side by side.",Draw: a group of three to five grandsons.
15,अनुज,अकारान्त पुं,younger brother / younger brothers,anuja,,,,,Draw: one younger brother.,"Draw: exactly two younger brothers, side by side.",Draw: a group of three to five younger brothers.
16,अग्रज,अकारान्त पुं,elder brother / elder brothers,agraja,,,,,Draw: one elder brother.,"Draw: exactly two elder brothers, side by side.",Draw: a group of three to five elder brothers.
17,मातुल,अकारान्त पुं,uncle / uncles,maatula,,,,,Draw: one uncle.,"Draw: exactly two uncles, side by side.",Draw: a group of three to five uncles.
18,पुरुष,अकारान्त पुं,man / men,purusha,,,,,Draw: one man.,"Draw: exactly two men, side by side.",Draw: a group of three to five men.
19,जन,अकारान्त पुं,person / people,jana,,,,,Draw: one person.,"Draw: exactly two people, side by side.",Draw: a group of three to five people.
20,भक्त,अकारान्त पुं,devotee / devotees,bhakta,,,,,Draw: one devotee.,"Draw: exactly two devotees, side by side.",Draw: a group of three to five devotees.
21,गायक,अकारान्त पुं,singer / singers,gaayaka,,,,,Draw: one singer.,"Draw: exactly two singers, side by side.",Draw: a group of three to five singers.
22,लेखक,अकारान्त पुं,writer / writers,lekhaka,,,,,Draw: one writer.,"Draw: exactly two writers, side by side.",Draw: a group of three to five writers.
23,नर्तक,अकारान्त पुं,dancer / dancers,nartaka,,,,,Draw: one dancer.,"Draw: exactly two dancers, side by side.",Draw: a group of three to five dancers.
24,पाचक,अकारान्त पुं,cook / cooks,paacaka,,,,,Draw: one cook.,"Draw: exactly two cooks, side by side.",Draw: a group of three to five cooks.
25,चालक,अकारान्त पुं,driver / drivers,caalaka,,,,,Draw: one driver.,"Draw: exactly two drivers, side by side.",Draw: a group of three to five drivers.
26,आरक्षक,अकारान्त पुं,policeman / policemen,aarakshaka,,,,,Draw: one policeman.,"Draw: exactly two policemen, side by side.",Draw: a group of three to five policemen.
27,सेवक,अकारान्त पुं,servant / servants,sevaka,,,,,Draw: one servant.,"Draw: exactly two servants, side by side.",Draw: a group of three to five servants.
28,चोर,अकारान्त पुं,thief / thieves,cora,,,,,Draw: one thief.,"Draw: exactly two thieves, side by side.",Draw: a group of three to five thieves.
29,राम,अकारान्त पुं,Rama,raama,,n/a,n/a,"a name: optional, one picture only",Draw: Rama.,,
30,कृष्ण,अकारान्त पुं,Krishna,krishna,,n/a,n/a,"a name: optional, one picture only",Draw: Krishna.,,
31,गणेश,अकारान्त पुं,Ganesha,ganesha,,n/a,n/a,"a name: optional, one picture only",Draw: Ganesha.,,
32,शिव,अकारान्त पुं,Shiva,shiva,,n/a,n/a,"a name: optional, one picture only",Draw: Shiva.,,
33,देव,अकारान्त पुं,god / gods,deva,,,,,Draw: one god.,"Draw: exactly two gods, side by side.",Draw: a group of three to five gods.
34,वृक्ष,अकारान्त पुं,tree / trees,vriksha,,,,,Draw: one tree.,"Draw: exactly two trees, side by side.",Draw: a group of three to five trees.
35,अश्व,अकारान्त पुं,horse / horses,ashva,,,,,Draw: one horse.,"Draw: exactly two horses, side by side.",Draw: a group of three to five horses.
36,गज,अकारान्त पुं,elephant / elephants,gaja,,,,,Draw: one elephant.,"Draw: exactly two elephants, side by side.",Draw: a group of three to five elephants.
37,सिंह,अकारान्त पुं,lion / lions,simha,,,,,Draw: one lion.,"Draw: exactly two lions, side by side.",Draw: a group of three to five lions.
38,व्याघ्र,अकारान्त पुं,tiger / tigers,vyaaghra,,,,,Draw: one tiger.,"Draw: exactly two tigers, side by side.",Draw: a group of three to five tigers.
39,मृग,अकारान्त पुं,deer / deer,mriga,,,,,Draw: one deer.,"Draw: exactly two deer, side by side.",Draw: a group of three to five deer.
40,वृषभ,अकारान्त पुं,bull / bulls,vrishabha,,,,,Draw: one bull.,"Draw: exactly two bulls, side by side.",Draw: a group of three to five bulls.
41,सर्प,अकारान्त पुं,snake / snakes,sarpa,,,,,Draw: one snake.,"Draw: exactly two snakes, side by side.",Draw: a group of three to five snakes.
42,मूषक,अकारान्त पुं,mouse / mice,muushaka,,,,,Draw: one mouse.,"Draw: exactly two mice, side by side.",Draw: a group of three to five mice.
43,मार्जार,अकारान्त पुं,cat / cats,maarjaara,,,,,Draw: one cat.,"Draw: exactly two cats, side by side.",Draw: a group of three to five cats.
44,कुक्कुर,अकारान्त पुं,dog / dogs,kukkura,,,,,Draw: one dog.,"Draw: exactly two dogs, side by side.",Draw: a group of three to five dogs.
45,वानर,अकारान्त पुं,monkey / monkeys,vaanara,,,,,Draw: one monkey.,"Draw: exactly two monkeys, side by side.",Draw: a group of three to five monkeys.
46,शृगाल,अकारान्त पुं,jackal / jackals,shrigaala,,,,,Draw: one jackal.,"Draw: exactly two jackals, side by side.",Draw: a group of three to five jackals.
47,मण्डूक,अकारान्त पुं,frog / frogs,manduuka,,,,,Draw: one frog.,"Draw: exactly two frogs, side by side.",Draw: a group of three to five frogs.
48,मत्स्य,अकारान्त पुं,fish / fish,matsya,,,,,Draw: one fish.,"Draw: exactly two fish, side by side.",Draw: a group of three to five fish.
49,मयूर,अकारान्त पुं,peacock / peacocks,mayuura,,,,,Draw: one peacock.,"Draw: exactly two peacocks, side by side.",Draw: a group of three to five peacocks.
50,काक,अकारान्त पुं,crow / crows,kaaka,,,,,Draw: one crow.,"Draw: exactly two crows, side by side.",Draw: a group of three to five crows.
51,शुक,अकारान्त पुं,parrot / parrots,shuka,,,,,Draw: one parrot.,"Draw: exactly two parrots, side by side.",Draw: a group of three to five parrots.
52,हंस,अकारान्त पुं,swan / swans,hamsa,,,,,Draw: one swan.,"Draw: exactly two swans, side by side.",Draw: a group of three to five swans.
53,कपोत,अकारान्त पुं,pigeon / pigeons,kapota,,,,,Draw: one pigeon.,"Draw: exactly two pigeons, side by side.",Draw: a group of three to five pigeons.
54,कोकिल,अकारान्त पुं,cuckoo / cuckoos,kokila,,,,,Draw: one cuckoo.,"Draw: exactly two cuckoos, side by side.",Draw: a group of three to five cuckoos.
55,खग,अकारान्त पुं,bird / birds,khaga,,,,,Draw: one bird.,"Draw: exactly two birds, side by side.",Draw: a group of three to five birds.
56,भ्रमर,अकारान्त पुं,bee / bees,bhramara,,,,,Draw: one bee.,"Draw: exactly two bees, side by side.",Draw: a group of three to five bees.
57,सूर्य,अकारान्त पुं,sun,suurya,,n/a,n/a,"a name: optional, one picture only",Draw: sun.,,
58,चन्द्र,अकारान्त पुं,moon,candra,,n/a,n/a,"a name: optional, one picture only",Draw: moon.,,
59,मेघ,अकारान्त पुं,cloud / clouds,megha,,,,,Draw: one cloud.,"Draw: exactly two clouds, side by side.",Draw: a group of three to five clouds.
60,पर्वत,अकारान्त पुं,mountain / mountains,parvata,,,,,Draw: one mountain.,"Draw: exactly two mountains, side by side.",Draw: a group of three to five mountains.
61,समुद्र,अकारान्त पुं,ocean / oceans,samudra,,,,,Draw: one ocean.,"Draw: exactly two oceans, side by side.",Draw: a group of three to five oceans.
62,सागर,अकारान्त पुं,sea / seas,saagara,,,,,Draw: one sea.,"Draw: exactly two seas, side by side.",Draw: a group of three to five seas.
63,तडाग,अकारान्त पुं,pond / ponds,tadaaga,,,,,Draw: one pond.,"Draw: exactly two ponds, side by side.",Draw: a group of three to five ponds.
64,कूप,अकारान्त पुं,well / wells,kuupa,,,,,Draw: one well.,"Draw: exactly two wells, side by side.",Draw: a group of three to five wells.
65,ग्राम,अकारान्त पुं,village / villages,graama,,,,,Draw: one village.,"Draw: exactly two villages, side by side.",Draw: a group of three to five villages.
66,देश,अकारान्त पुं,country / countries,desha,,,,,Draw: one country.,"Draw: exactly two countries, side by side.",Draw: a group of three to five countries.
67,मार्ग,अकारान्त पुं,road / roads,maarga,,,,,Draw: one road.,"Draw: exactly two roads, side by side.",Draw: a group of three to five roads.
68,आपण,अकारान्त पुं,shop / shops,aapana,,,,,Draw: one shop.,"Draw: exactly two shops, side by side.",Draw: a group of three to five shops.
69,विद्यालय,अकारान्त पुं,school / schools,vidyaalaya,,,,,Draw: one school.,"Draw: exactly two schools, side by side.",Draw: a group of three to five schools.
70,ग्रन्थालय,अकारान्त पुं,library / libraries,granthaalaya,,,,,Draw: one library.,"Draw: exactly two libraries, side by side.",Draw: a group of three to five libraries.
71,चिकित्सालय,अकारान्त पुं,hospital / hospitals,cikitsaalaya,,,,,Draw: one hospital.,"Draw: exactly two hospitals, side by side.",Draw: a group of three to five hospitals.
72,देवालय,अकारान्त पुं,temple / temples,devaalaya,,,,,Draw: one temple.,"Draw: exactly two temples, side by side.",Draw: a group of three to five temples.
73,प्रासाद,अकारान्त पुं,palace / palaces,praasaada,,,,,Draw: one palace.,"Draw: exactly two palaces, side by side.",Draw: a group of three to five palaces.
74,घट,अकारान्त पुं,pot / pots,ghata,,,,,Draw: one pot.,"Draw: exactly two pots, side by side.",Draw: a group of three to five pots.
75,कलश,अकारान्त पुं,water-pot / water-pots,kalasha,,,,,Draw: one water-pot.,"Draw: exactly two water-pots, side by side.",Draw: a group of three to five water-pots.
76,चषक,अकारान्त पुं,cup / cups,cashaka,,,,,Draw: one cup.,"Draw: exactly two cups, side by side.",Draw: a group of three to five cups.
77,दीप,अकारान्त पुं,lamp / lamps,diipa,,,,,Draw: one lamp.,"Draw: exactly two lamps, side by side.",Draw: a group of three to five lamps.
78,दण्ड,अकारान्त पुं,stick / sticks,danda,,,,,Draw: one stick.,"Draw: exactly two sticks, side by side.",Draw: a group of three to five sticks.
79,हस्त,अकारान्त पुं,hand / hands,hasta,,,,,Draw: one hand.,"Draw: exactly two hands, side by side.",Draw: a group of three to five hands.
80,पाद,अकारान्त पुं,foot / feet,paada,,,,,Draw: one foot.,"Draw: exactly two feet, side by side.",Draw: a group of three to five feet.
81,कर्ण,अकारान्त पुं,ear / ears,karna,,,,,Draw: one ear.,"Draw: exactly two ears, side by side.",Draw: a group of three to five ears.
82,दन्त,अकारान्त पुं,tooth / teeth,danta,,,,,Draw: one tooth.,"Draw: exactly two teeth, side by side.",Draw: a group of three to five teeth.
83,रथ,अकारान्त पुं,chariot / chariots,ratha,,,,,Draw: one chariot.,"Draw: exactly two chariots, side by side.",Draw: a group of three to five chariots.
84,मोदक,अकारान्त पुं,modaka sweet / modaka sweets,modaka,,,,,Draw: one modaka sweet.,"Draw: exactly two modaka sweets, side by side.",Draw: a group of three to five modaka sweets.
85,ओदन,अकारान्त पुं,rice,odana,,n/a,n/a,uncountable: one picture only,Draw: some rice.,,
86,सूप,अकारान्त पुं,dal,suupa,,n/a,n/a,uncountable: one picture only,Draw: some dal.,,
87,स्यूत,अकारान्त पुं,bag / bags,syuuta,,,,,Draw: one bag.,"Draw: exactly two bags, side by side.",Draw: a group of three to five bags.
88,पर्यङ्क,अकारान्त पुं,cot / cots,paryangka,,,,,Draw: one cot.,"Draw: exactly two cots, side by side.",Draw: a group of three to five cots.
89,ग्रन्थ,अकारान्त पुं,book / books,grantha,,,,,Draw: one book.,"Draw: exactly two books, side by side.",Draw: a group of three to five books.
90,श्लोक,अकारान्त पुं,verse / verses,shloka,,,,,Draw: one verse.,"Draw: exactly two verses, side by side.",Draw: a group of three to five verses.
91,पाठ,अकारान्त पुं,lesson / lessons,paatha,,,,,Draw: one lesson.,"Draw: exactly two lessons, side by side.",Draw: a group of three to five lessons.
92,उत्सव,अकारान्त पुं,festival / festivals,utsava,,,,hard to picture: optional,Draw: a simple picture that suggests festival.,"Draw: exactly two festivals, side by side.",Draw: a group of three to five festivals.
93,विवाह,अकारान्त पुं,wedding / weddings,vivaaha,,,,hard to picture: optional,Draw: a simple picture that suggests wedding.,"Draw: exactly two weddings, side by side.",Draw: a group of three to five weddings.
94,दिवस,अकारान्त पुं,day / days,divasa,,,,hard to picture: optional,Draw: a simple picture that suggests day.,"Draw: exactly two days, side by side.",Draw: a group of three to five days.
95,वसन्त,अकारान्त पुं,spring,vasanta,,n/a,n/a,"a name: optional, one picture only; hard to picture: optional",Draw: spring.,,
96,धर्म,अकारान्त पुं,dharma,dharma,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests dharma.,,
97,आनन्द,अकारान्त पुं,joy,aananda,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests joy.,,
98,क्रोध,अकारान्त पुं,anger,krodha,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests anger.,,
99,विचार,अकारान्त पुं,thought / thoughts,vicaara,,,,hard to picture: optional,Draw: a simple picture that suggests thought.,"Draw: exactly two thoughts, side by side.",Draw: a group of three to five thoughts.
100,गुण,अकारान्त पुं,virtue / virtues,guna,,,,hard to picture: optional,Draw: a simple picture that suggests virtue.,"Draw: exactly two virtues, side by side.",Draw: a group of three to five virtues.
101,चमस,अकारान्त पुं,spoon / spoons,camasa,,,,,Draw: one spoon.,"Draw: exactly two spoons, side by side.",Draw: a group of three to five spoons.
102,शङ्ख,अकारान्त पुं,conch / conches,shangkha,,,,,Draw: one conch.,"Draw: exactly two conches, side by side.",Draw: a group of three to five conches.
103,ध्वज,अकारान्त पुं,flag / flags,dhvaja,,,,,Draw: one flag.,"Draw: exactly two flags, side by side.",Draw: a group of three to five flags.
104,कन्दुक,अकारान्त पुं,ball / balls,kanduka,,,,,Draw: one ball.,"Draw: exactly two balls, side by side.",Draw: a group of three to five balls.
105,ब्राह्मण,अकारान्त पुं,brahmin / brahmins,braahmana,,,,,Draw: one brahmin.,"Draw: exactly two brahmins, side by side.",Draw: a group of three to five brahmins.
106,यजमान,अकारान्त पुं,patron / patrons,yajamaana,,,,,Draw: one patron.,"Draw: exactly two patrons, side by side.",Draw: a group of three to five patrons.
107,पण्डित,अकारान्त पुं,scholar / scholars,pandita,,,,,Draw: one scholar.,"Draw: exactly two scholars, side by side.",Draw: a group of three to five scholars.
108,तापस,अकारान्त पुं,ascetic / ascetics,taapasa,,,,,Draw: one ascetic.,"Draw: exactly two ascetics, side by side.",Draw: a group of three to five ascetics.
109,वृद्ध,अकारान्त पुं,old man / old men,vriddha,,,,,Draw: one old man.,"Draw: exactly two old men, side by side.",Draw: a group of three to five old men.
110,श्वशुर,अकारान्त पुं,father-in-law / fathers-in-law,shvashura,,,,,Draw: one father-in-law.,"Draw: exactly two fathers-in-law, side by side.",Draw: a group of three to five fathers-in-law.
111,नायक,अकारान्त पुं,leader / leaders,naayaka,,,,,Draw: one leader.,"Draw: exactly two leaders, side by side.",Draw: a group of three to five leaders.
112,न्यायाधीश,अकारान्त पुं,judge / judges,nyaayaadhiisha,,,,,Draw: one judge.,"Draw: exactly two judges, side by side.",Draw: a group of three to five judges.
113,कुमार,अकारान्त पुं,boy / boys,kumaara,,,,,Draw: one boy.,"Draw: exactly two boys, side by side.",Draw: a group of three to five boys.
114,दारक,अकारान्त पुं,child / children,daaraka,,,,,Draw: one child.,"Draw: exactly two children, side by side.",Draw: a group of three to five children.
115,सुत,अकारान्त पुं,son / sons,suta,,,,,Draw: one son.,"Draw: exactly two sons, side by side.",Draw: a group of three to five sons.
116,तनय,अकारान्त पुं,son / sons,tanaya,,,,,Draw: one son.,"Draw: exactly two sons, side by side.",Draw: a group of three to five sons.
117,मानव,अकारान्त पुं,human / humans,maanava,,,,,Draw: one human.,"Draw: exactly two humans, side by side.",Draw: a group of three to five humans.
118,नागरिक,अकारान्त पुं,citizen / citizens,naagarika,,,,,Draw: one citizen.,"Draw: exactly two citizens, side by side.",Draw: a group of three to five citizens.
119,ग्रामीण,अकारान्त पुं,villager / villagers,graamiina,,,,,Draw: one villager.,"Draw: exactly two villagers, side by side.",Draw: a group of three to five villagers.
120,सहायक,अकारान्त पुं,helper / helpers,sahaayaka,,,,,Draw: one helper.,"Draw: exactly two helpers, side by side.",Draw: a group of three to five helpers.
121,रक्षक,अकारान्त पुं,guard / guards,rakshaka,,,,,Draw: one guard.,"Draw: exactly two guards, side by side.",Draw: a group of three to five guards.
122,वादक,अकारान्त पुं,player / players,vaadaka,,,,,Draw: one player.,"Draw: exactly two players, side by side.",Draw: a group of three to five players.
123,धावक,अकारान्त पुं,runner / runners,dhaavaka,,,,,Draw: one runner.,"Draw: exactly two runners, side by side.",Draw: a group of three to five runners.
124,याचक,अकारान्त पुं,beggar / beggars,yaacaka,,,,,Draw: one beggar.,"Draw: exactly two beggars, side by side.",Draw: a group of three to five beggars.
125,भिक्षुक,अकारान्त पुं,mendicant / mendicants,bhikshuka,,,,,Draw: one mendicant.,"Draw: exactly two mendicants, side by side.",Draw: a group of three to five mendicants.
126,दूत,अकारान्त पुं,messenger / messengers,duuta,,,,,Draw: one messenger.,"Draw: exactly two messengers, side by side.",Draw: a group of three to five messengers.
127,सूत,अकारान्त पुं,charioteer / charioteers,suuta,,,,,Draw: one charioteer.,"Draw: exactly two charioteers, side by side.",Draw: a group of three to five charioteers.
128,भृत्य,अकारान्त पुं,servant / servants,bhritya,,,,,Draw: one servant.,"Draw: exactly two servants, side by side.",Draw: a group of three to five servants.
129,वीर,अकारान्त पुं,hero / heroes,viira,,,,,Draw: one hero.,"Draw: exactly two heroes, side by side.",Draw: a group of three to five heroes.
130,मूर्ख,अकारान्त पुं,fool / fools,muurkha,,,,,Draw: one fool.,"Draw: exactly two fools, side by side.",Draw: a group of three to five fools.
131,इन्द्र,अकारान्त पुं,Indra,indra,,n/a,n/a,"a name: optional, one picture only",Draw: Indra.,,
132,यम,अकारान्त पुं,Yama,yama,,n/a,n/a,"a name: optional, one picture only",Draw: Yama.,,
133,वरुण,अकारान्त पुं,Varuna,varuna,,n/a,n/a,"a name: optional, one picture only",Draw: Varuna.,,
134,कुबेर,अकारान्त पुं,Kubera,kubera,,n/a,n/a,"a name: optional, one picture only",Draw: Kubera.,,
135,सुब्रह्मण्य,अकारान्त पुं,Subrahmanya,subrahmanya,,n/a,n/a,"a name: optional, one picture only",Draw: Subrahmanya.,,
136,अर्जुन,अकारान्त पुं,Arjuna,arjuna,,n/a,n/a,"a name: optional, one picture only",Draw: Arjuna.,,
137,भीम,अकारान्त पुं,Bhima,bhiima,,n/a,n/a,"a name: optional, one picture only",Draw: Bhima.,,
138,युधिष्ठिर,अकारान्त पुं,Yudhishthira,yudhishthira,,n/a,n/a,"a name: optional, one picture only",Draw: Yudhishthira.,,
139,लक्ष्मण,अकारान्त पुं,Lakshmana,lakshmana,,n/a,n/a,"a name: optional, one picture only",Draw: Lakshmana.,,
140,भरत,अकारान्त पुं,Bharata,bharata,,n/a,n/a,"a name: optional, one picture only",Draw: Bharata.,,
141,दशरथ,अकारान्त पुं,Dasharatha,dasharatha,,n/a,n/a,"a name: optional, one picture only",Draw: Dasharatha.,,
142,सुग्रीव,अकारान्त पुं,Sugriva,sugriiva,,n/a,n/a,"a name: optional, one picture only",Draw: Sugriva.,,
143,नारद,अकारान्त पुं,Narada,naarada,,n/a,n/a,"a name: optional, one picture only",Draw: Narada.,,
144,रावण,अकारान्त पुं,Ravana,raavana,,n/a,n/a,"a name: optional, one picture only",Draw: Ravana.,,
145,गर्दभ,अकारान्त पुं,donkey / donkeys,gardabha,,,,,Draw: one donkey.,"Draw: exactly two donkeys, side by side.",Draw: a group of three to five donkeys.
146,उष्ट्र,अकारान्त पुं,camel / camels,ushtra,,,,,Draw: one camel.,"Draw: exactly two camels, side by side.",Draw: a group of three to five camels.
147,मेष,अकारान्त पुं,ram / rams,mesha,,,,,Draw: one ram.,"Draw: exactly two rams, side by side.",Draw: a group of three to five rams.
148,अज,अकारान्त पुं,goat / goats,aja,,,,,Draw: one goat.,"Draw: exactly two goats, side by side.",Draw: a group of three to five goats.
149,शशक,अकारान्त पुं,rabbit / rabbits,shashaka,,,,,Draw: one rabbit.,"Draw: exactly two rabbits, side by side.",Draw: a group of three to five rabbits.
150,नकुल,अकारान्त पुं,mongoose / mongooses,nakula,,,,,Draw: one mongoose.,"Draw: exactly two mongooses, side by side.",Draw: a group of three to five mongooses.
151,वराह,अकारान्त पुं,boar / boars,varaaha,,,,,Draw: one boar.,"Draw: exactly two boars, side by side.",Draw: a group of three to five boars.
152,ऋक्ष,अकारान्त पुं,bear / bears,riksha,,,,,Draw: one bear.,"Draw: exactly two bears, side by side.",Draw: a group of three to five bears.
153,वृक,अकारान्त पुं,wolf / wolves,vrika,,,,,Draw: one wolf.,"Draw: exactly two wolves, side by side.",Draw: a group of three to five wolves.
154,कच्छप,अकारान्त पुं,tortoise / tortoises,kacchapa,,,,,Draw: one tortoise.,"Draw: exactly two tortoises, side by side.",Draw: a group of three to five tortoises.
155,मकर,अकारान्त पुं,crocodile / crocodiles,makara,,,,,Draw: one crocodile.,"Draw: exactly two crocodiles, side by side.",Draw: a group of three to five crocodiles.
156,गृध्र,अकारान्त पुं,vulture / vultures,gridhra,,,,,Draw: one vulture.,"Draw: exactly two vultures, side by side.",Draw: a group of three to five vultures.
157,उलूक,अकारान्त पुं,owl / owls,uluuka,,,,,Draw: one owl.,"Draw: exactly two owls, side by side.",Draw: a group of three to five owls.
158,बक,अकारान्त पुं,crane / cranes,baka,,,,,Draw: one crane.,"Draw: exactly two cranes, side by side.",Draw: a group of three to five cranes.
159,चक्रवाक,अकारान्त पुं,ruddy goose / ruddy geese,cakravaaka,,,,,Draw: one ruddy goose.,"Draw: exactly two ruddy geese, side by side.",Draw: a group of three to five ruddy geese.
160,मशक,अकारान्त पुं,mosquito / mosquitoes,mashaka,,,,,Draw: one mosquito.,"Draw: exactly two mosquitoes, side by side.",Draw: a group of three to five mosquitoes.
161,वृश्चिक,अकारान्त पुं,scorpion / scorpions,vrishcika,,,,,Draw: one scorpion.,"Draw: exactly two scorpions, side by side.",Draw: a group of three to five scorpions.
162,कीट,अकारान्त पुं,insect / insects,kiita,,,,,Draw: one insect.,"Draw: exactly two insects, side by side.",Draw: a group of three to five insects.
163,आम्र,अकारान्त पुं,mango tree / mango trees,aamra,,,,,Draw: one mango tree.,"Draw: exactly two mango trees, side by side.",Draw: a group of three to five mango trees.
164,अशोक,अकारान्त पुं,ashoka tree / ashoka trees,ashoka,,,,,Draw: one ashoka tree.,"Draw: exactly two ashoka trees, side by side.",Draw: a group of three to five ashoka trees.
165,वट,अकारान्त पुं,banyan / banyans,vata,,,,,Draw: one banyan.,"Draw: exactly two banyans, side by side.",Draw: a group of three to five banyans.
166,अश्वत्थ,अकारान्त पुं,peepal tree / peepal trees,ashvattha,,,,,Draw: one peepal tree.,"Draw: exactly two peepal trees, side by side.",Draw: a group of three to five peepal trees.
167,अङ्कुर,अकारान्त पुं,sprout / sprouts,angkura,,,,,Draw: one sprout.,"Draw: exactly two sprouts, side by side.",Draw: a group of three to five sprouts.
168,शैल,अकारान्त पुं,mountain / mountains,shaila,,,,,Draw: one mountain.,"Draw: exactly two mountains, side by side.",Draw: a group of three to five mountains.
169,राजमार्ग,अकारान्त पुं,highway / highways,raajamaarga,,,,,Draw: one highway.,"Draw: exactly two highways, side by side.",Draw: a group of three to five highways.
170,हट्ट,अकारान्त पुं,market / markets,hatta,,,,,Draw: one market.,"Draw: exactly two markets, side by side.",Draw: a group of three to five markets.
171,आश्रम,अकारान्त पुं,hermitage / hermitages,aashrama,,,,,Draw: one hermitage.,"Draw: exactly two hermitages, side by side.",Draw: a group of three to five hermitages.
172,मठ,अकारान्त पुं,monastery / monasteries,matha,,,,,Draw: one monastery.,"Draw: exactly two monasteries, side by side.",Draw: a group of three to five monasteries.
173,छात्रावास,अकारान्त पुं,hostel / hostels,chaatraavaasa,,,,,Draw: one hostel.,"Draw: exactly two hostels, side by side.",Draw: a group of three to five hostels.
174,विहार,अकारान्त पुं,vihara / viharas,vihaara,,,,,Draw: one vihara.,"Draw: exactly two viharas, side by side.",Draw: a group of three to five viharas.
175,आराम,अकारान्त पुं,pleasure garden / pleasure gardens,aaraama,,,,,Draw: one pleasure garden.,"Draw: exactly two pleasure gardens, side by side.",Draw: a group of three to five pleasure gardens.
176,कक्ष,अकारान्त पुं,room / rooms,kaksha,,,,,Draw: one room.,"Draw: exactly two rooms, side by side.",Draw: a group of three to five rooms.
177,प्रकोष्ठ,अकारान्त पुं,chamber / chambers,prakoshtha,,,,,Draw: one chamber.,"Draw: exactly two chambers, side by side.",Draw: a group of three to five chambers.
178,स्तम्भ,अकारान्त पुं,pillar / pillars,stambha,,,,,Draw: one pillar.,"Draw: exactly two pillars, side by side.",Draw: a group of three to five pillars.
179,प्राकार,अकारान्त पुं,wall / walls,praakaara,,,,,Draw: one wall.,"Draw: exactly two walls, side by side.",Draw: a group of three to five walls.
180,कोण,अकारान्त पुं,corner / corners,kona,,,,,Draw: one corner.,"Draw: exactly two corners, side by side.",Draw: a group of three to five corners.
181,लड्डुक,अकारान्त पुं,laddu / laddus,ladduka,,,,,Draw: one laddu.,"Draw: exactly two laddus, side by side.",Draw: a group of three to five laddus.
182,अपूप,अकारान्त पुं,cake / cakes,apuupa,,,,,Draw: one cake.,"Draw: exactly two cakes, side by side.",Draw: a group of three to five cakes.
183,कन्द,अकारान्त पुं,tuber / tubers,kanda,,,,,Draw: one tuber.,"Draw: exactly two tubers, side by side.",Draw: a group of three to five tubers.
184,तण्डुल,अकारान्त पुं,rice grain / rice grains,tandula,,,,,Draw: one rice grain.,"Draw: exactly two rice grains, side by side.",Draw: a group of three to five rice grains.
185,यव,अकारान्त पुं,barley,yava,,n/a,n/a,uncountable: one picture only,Draw: some barley.,,
186,गुड,अकारान्त पुं,jaggery,guda,,n/a,n/a,uncountable: one picture only,Draw: some jaggery.,,
187,आहार,अकारान्त पुं,food,aahaara,,n/a,n/a,uncountable: one picture only,Draw: some food.,,
