id,or name it,part,group,word,meaning,how many,read these in order,notes,status
B012,krishna-eka,B tables,"एकवचनम्, पुंलिङ्गम्",कृष्ण,Krishna,8,कृष्णः   कृष्णम्   कृष्णेन   कृष्णाय   कृष्णात्   कृष्णस्य   कृष्णे   कृष्ण,,
B013,baalaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",बालक,boy,8,बालकः   बालकम्   बालकेन   बालकाय   बालकात्   बालकस्य   बालके   बालक,,
B014,muushaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",मूषक,mouse,8,मूषकः   मूषकम्   मूषकेण   मूषकाय   मूषकात्   मूषकस्य   मूषके   मूषक,,
B015,vaanara-eka,B tables,"एकवचनम्, पुंलिङ्गम्",वानर,monkey,8,वानरः   वानरम्   वानरेण   वानराय   वानरात्   वानरस्य   वानरे   वानर,,
B016,khaga-eka,B tables,"एकवचनम्, पुंलिङ्गम्",खग,bird,8,खगः   खगम्   खगेन   खगाय   खगात्   खगस्य   खगे   खग,,
B017,kapota-eka,B tables,"एकवचनम्, पुंलिङ्गम्",कपोत,pigeon,8,कपोतः   कपोतम्   कपोतेन   कपोताय   कपोतात्   कपोतस्य   कपोते   कपोत,,
B018,nripa-eka,B tables,"एकवचनम्, पुंलिङ्गम्",नृप,king,8,नृपः   नृपम्   नृपेण   नृपाय   नृपात्   नृपस्य   नृपे   नृप,,
B019,parvata-eka,B tables,"एकवचनम्, पुंलिङ्गम्",पर्वत,mountain,8,पर्वतः   पर्वतम्   पर्वतेन   पर्वताय   पर्वतात्   पर्वतस्य   पर्वते   पर्वत,,
B020,chaatra-eka,B tables,"एकवचनम्, पुंलिङ्गम्",छात्र,student,8,छात्रः   छात्रम्   छात्रेण   छात्राय   छात्रात्   छात्रस्य   छात्रे   छात्र,,
B021,krishaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",कृषक,farmer,8,कृषकः   कृषकम्   कृषकेण   कृषकाय   कृषकात्   कृषकस्य   कृषके   कृषक,,
B022,ashva-eka,B tables,"एकवचनम्, पुंलिङ्गम्",अश्व,horse,8,अश्वः   अश्वम्   अश्वेन   अश्वाय   अश्वात्   अश्वस्य   अश्वे   अश्व,,
B023,mriga-eka,B tables,"एकवचनम्, पुंलिङ्गम्",मृग,deer,8,मृगः   मृगम्   मृगेण   मृगाय   मृगात्   मृगस्य   मृगे   मृग,,
B024,putra-eka,B tables,"एकवचनम्, पुंलिङ्गम्",पुत्र,son,8,पुत्रः   पुत्रम्   पुत्रेण   पुत्राय   पुत्रात्   पुत्रस्य   पुत्रे   पुत्र,,
B025,deva-eka,B tables,"एकवचनम्, पुंलिङ्गम्",देव,god,8,देवः   देवम्   देवेन   देवाय   देवात्   देवस्य   देवे   देव,,
B026,aananda-eka,B tables,"एकवचनम्, पुंलिङ्गम्",आनन्द,joy,8,आनन्दः   आनन्दम्   आनन्देन   आनन्दाय   आनन्दात्   आनन्दस्य   आनन्दे   आनन्द,,
B027,vaidya-eka,B tables,"एकवचनम्, पुंलिङ्गम्",वैद्य,doctor,8,वैद्यः   वैद्यम्   वैद्येन   वैद्याय   वैद्यात्   वैद्यस्य   वैद्ये   वैद्य,,
B028,gaja-eka,B tables,"एकवचनम्, पुंलिङ्गम्",गज,elephant,8,गजः   गजम्   गजेन   गजाय   गजात्   गजस्य   गजे   गज,,
B029,grantha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",ग्रन्थ,book,8,ग्रन्थः   ग्रन्थम्   ग्रन्थेन   ग्रन्थाय   ग्रन्थात्   ग्रन्थस्य   ग्रन्थे   ग्रन्थ,,
B030,shishya-eka,B tables,"एकवचनम्, पुंलिङ्गम्",शिष्य,disciple,8,शिष्यः   शिष्यम्   शिष्येण   शिष्याय   शिष्यात्   शिष्यस्य   शिष्ये   शिष्य,,
B031,kaaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",काक,crow,8,काकः   काकम्   काकेन   काकाय   काकात्   काकस्य   काके   काक,,
B032,graama-eka,B tables,"एकवचनम्, पुंलिङ्गम्",ग्राम,village,8,ग्रामः   ग्रामम्   ग्रामेण   ग्रामाय   ग्रामात्   ग्रामस्य   ग्रामे   ग्राम,,
B033,kacchapa-eka,B tables,"एकवचनम्, पुंलिङ्गम्",कच्छप,tortoise,8,कच्छपः   कच्छपम्   कच्छपेन   कच्छपाय   कच्छपात्   कच्छपस्य   कच्छपे   कच्छप,,
B034,hamsa-eka,B tables,"एकवचनम्, पुंलिङ्गम्",हंस,swan,8,हंसः   हंसम्   हंसेन   हंसाय   हंसात्   हंसस्य   हंसे   हंस,,
B035,dasharatha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",दशरथ,Dasharatha,8,दशरथः   दशरथम्   दशरथेन   दशरथाय   दशरथात्   दशरथस्य   दशरथे   दशरथ,,
B036,utsava-eka,B tables,"एकवचनम्, पुंलिङ्गम्",उत्सव,festival,8,उत्सवः   उत्सवम्   उत्सवेन   उत्सवाय   उत्सवात्   उत्सवस्य   उत्सवे   उत्सव,,
B037,janaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",जनक,father,8,जनकः   जनकम्   जनकेन   जनकाय   जनकात्   जनकस्य   जनके   जनक,,
B038,dharma-eka,B tables,"एकवचनम्, पुंलिङ्गम्",धर्म,dharma,8,धर्मः   धर्मम्   धर्मेण   धर्माय   धर्मात्   धर्मस्य   धर्मे   धर्म,,
B039,indra-eka,B tables,"एकवचनम्, पुंलिङ्गम्",इन्द्र,Indra,8,इन्द्रः   इन्द्रम्   इन्द्रेण   इन्द्राय   इन्द्रात्   इन्द्रस्य   इन्द्रे   इन्द्र,,
B040,shiva-eka,B tables,"एकवचनम्, पुंलिङ्गम्",शिव,Shiva,8,शिवः   शिवम्   शिवेन   शिवाय   शिवात्   शिवस्य   शिवे   शिव,,
B041,ganesha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",गणेश,Ganesha,8,गणेशः   गणेशम्   गणेशेन   गणेशाय   गणेशात्   गणेशस्य   गणेशे   गणेश,,
B042,naarada-eka,B tables,"एकवचनम्, पुंलिङ्गम्",नारद,Narada,8,नारदः   नारदम्   नारदेन   नारदाय   नारदात्   नारदस्य   नारदे   नारद,,
B043,shikshaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",शिक्षक,teacher,8,शिक्षकः   शिक्षकम्   शिक्षकेण   शिक्षकाय   शिक्षकात्   शिक्षकस्य   शिक्षके   शिक्षक,,
B044,mayuura-eka,B tables,"एकवचनम्, पुंलिङ्गम्",मयूर,peacock,8,मयूरः   मयूरम्   मयूरेण   मयूराय   मयूरात्   मयूरस्य   मयूरे   मयूर,,
B045,sevaka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",सेवक,servant,8,सेवकः   सेवकम्   सेवकेन   सेवकाय   सेवकात्   सेवकस्य   सेवके   सेवक,,
B046,svara-eka,B tables,"एकवचनम्, पुंलिङ्गम्",स्वर,note,8,स्वरः   स्वरम्   स्वरेण   स्वराय   स्वरात्   स्वरस्य   स्वरे   स्वर,,
B047,desha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",देश,country,8,देशः   देशम्   देशेन   देशाय   देशात्   देशस्य   देशे   देश,,
B048,maarga-eka,B tables,"एकवचनम्, पुंलिङ्गम्",मार्ग,road,8,मार्गः   मार्गम्   मार्गेण   मार्गाय   मार्गात्   मार्गस्य   मार्गे   मार्ग,,
B049,diipa-eka,B tables,"एकवचनम्, पुंलिङ्गम्",दीप,lamp,8,दीपः   दीपम्   दीपेन   दीपाय   दीपात्   दीपस्य   दीपे   दीप,,
B050,hasta-eka,B tables,"एकवचनम्, पुंलिङ्गम्",हस्त,hand,8,हस्तः   हस्तम्   हस्तेन   हस्ताय   हस्तात्   हस्तस्य   हस्ते   हस्त,,
B051,aapana-eka,B tables,"एकवचनम्, पुंलिङ्गम्",आपण,shop,8,आपणः   आपणम्   आपणेन   आपणाय   आपणात्   आपणस्य   आपणे   आपण,,
B052,vidyaalaya-eka,B tables,"एकवचनम्, पुंलिङ्गम्",विद्यालय,school,8,विद्यालयः   विद्यालयम्   विद्यालयेन   विद्यालयाय   विद्यालयात्   विद्यालयस्य   विद्यालये   विद्यालय,,
B053,paada-eka,B tables,"एकवचनम्, पुंलिङ्गम्",पाद,foot,8,पादः   पादम्   पादेन   पादाय   पादात्   पादस्य   पादे   पाद,,
B054,suurya-eka,B tables,"एकवचनम्, पुंलिङ्गम्",सूर्य,sun,8,सूर्यः   सूर्यम्   सूर्येण   सूर्याय   सूर्यात्   सूर्यस्य   सूर्ये   सूर्य,,
B055,candra-eka,B tables,"एकवचनम्, पुंलिङ्गम्",चन्द्र,moon,8,चन्द्रः   चन्द्रम्   चन्द्रेण   चन्द्राय   चन्द्रात्   चन्द्रस्य   चन्द्रे   चन्द्र,,
B056,siitaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",सीता,Sita,8,सीता   सीताम्   सीतया   सीतायै   सीतायाः   सीतायाः   सीतायाम्   सीते,,
B057,baalikaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",बालिका,girl,8,बालिका   बालिकाम्   बालिकया   बालिकायै   बालिकायाः   बालिकायाः   बालिकायाम्   बालिके,,
B058,kavitaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",कविता,poem,8,कविता   कविताम्   कवितया   कवितायै   कवितायाः   कवितायाः   कवितायाम्   कविते,,
B059,draakshaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",द्राक्षा,grape,8,द्राक्षा   द्राक्षाम्   द्राक्षया   द्राक्षायै   द्राक्षायाः   द्राक्षायाः   द्राक्षायाम्   द्राक्षे,,
B060,vidyaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",विद्या,learning,8,विद्या   विद्याम्   विद्यया   विद्यायै   विद्यायाः   विद्यायाः   विद्यायाम्   विद्ये,,
B061,chaatraa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",छात्रा,student,8,छात्रा   छात्राम्   छात्रया   छात्रायै   छात्रायाः   छात्रायाः   छात्रायाम्   छात्रे,,
B062,sandhyaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",सन्ध्या,evening,8,सन्ध्या   सन्ध्याम्   सन्ध्यया   सन्ध्यायै   सन्ध्यायाः   सन्ध्यायाः   सन्ध्यायाम्   सन्ध्ये,,
B063,ajaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",अजा,goat,8,अजा   अजाम्   अजया   अजायै   अजायाः   अजायाः   अजायाम्   अजे,,
B064,ayodhyaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",अयोध्या,Ayodhya,8,अयोध्या   अयोध्याम्   अयोध्यया   अयोध्यायै   अयोध्यायाः   अयोध्यायाः   अयोध्यायाम्   अयोध्ये,,
B065,vriddhaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",वृद्धा,old woman,8,वृद्धा   वृद्धाम्   वृद्धया   वृद्धायै   वृद्धायाः   वृद्धायाः   वृद्धायाम्   वृद्धे,,
B066,puujaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",पूजा,worship,8,पूजा   पूजाम्   पूजया   पूजायै   पूजायाः   पूजायाः   पूजायाम्   पूजे,,
B067,paathashaalaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",पाठशाला,school,8,पाठशाला   पाठशालाम्   पाठशालया   पाठशालायै   पाठशालायाः   पाठशालायाः   पाठशालायाम्   पाठशाले,,
B068,shikshikaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",शिक्षिका,teacher,8,शिक्षिका   शिक्षिकाम्   शिक्षिकया   शिक्षिकायै   शिक्षिकायाः   शिक्षिकायाः   शिक्षिकायाम्   शिक्षिके,,
B069,kathaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",कथा,story,8,कथा   कथाम्   कथया   कथायै   कथायाः   कथायाः   कथायाम्   कथे,,
B070,kakshaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",कक्षा,classroom,8,कक्षा   कक्षाम्   कक्षया   कक्षायै   कक्षायाः   कक्षायाः   कक्षायाम्   कक्षे,,
B071,ramaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",रमा,Ramā,8,रमा   रमाम्   रमया   रमायै   रमायाः   रमायाः   रमायाम्   रमे,,
B072,lataa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",लता,creeper,8,लता   लताम्   लतया   लतायै   लतायाः   लतायाः   लतायाम्   लते,,
B073,maalaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",माला,garland,8,माला   मालाम्   मालया   मालायै   मालायाः   मालायाः   मालायाम्   माले,,
B074,bhaashaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",भाषा,language,8,भाषा   भाषाम्   भाषया   भाषायै   भाषायाः   भाषायाः   भाषायाम्   भाषे,,
B075,patrikaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",पत्रिका,magazine,8,पत्रिका   पत्रिकाम्   पत्रिकया   पत्रिकायै   पत्रिकायाः   पत्रिकायाः   पत्रिकायाम्   पत्रिके,,
B076,ganggaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",गङ्गा,the Ganga,8,गङ्गा   गङ्गाम्   गङ्गया   गङ्गायै   गङ्गायाः   गङ्गायाः   गङ्गायाम्   गङ्गे,,
B077,adhyaapikaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",अध्यापिका,teacher,8,अध्यापिका   अध्यापिकाम्   अध्यापिकया   अध्यापिकायै   अध्यापिकायाः   अध्यापिकायाः   अध्यापिकायाम्   अध्यापिके,,
B078,naukaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",नौका,boat,8,नौका   नौकाम्   नौकया   नौकायै   नौकायाः   नौकायाः   नौकायाम्   नौके,,
B079,shaakhaa-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",शाखा,branch,8,शाखा   शाखाम्   शाखया   शाखायै   शाखायाः   शाखायाः   शाखायाम्   शाखे,,
B080,nadii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",नदी,river,8,नदी   नदीम्   नद्या   नद्यै   नद्याः   नद्याः   नद्याम्   नदि,,
B081,devii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",देवी,goddess,8,देवी   देवीम्   देव्या   देव्यै   देव्याः   देव्याः   देव्याम्   देवि,,
B082,nagarii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",नगरी,city,8,नगरी   नगरीम्   नगर्या   नगर्यै   नगर्याः   नगर्याः   नगर्याम्   नगरि,,
B083,putrii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",पुत्री,daughter,8,पुत्री   पुत्रीम्   पुत्र्या   पुत्र्यै   पुत्र्याः   पुत्र्याः   पुत्र्याम्   पुत्रि,,
B084,jananii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",जननी,mother,8,जननी   जननीम्   जनन्या   जनन्यै   जनन्याः   जनन्याः   जनन्याम्   जननि,,
B085,lekhanii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",लेखनी,pen,8,लेखनी   लेखनीम्   लेखन्या   लेखन्यै   लेखन्याः   लेखन्याः   लेखन्याम्   लेखनि,,
B086,naarii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",नारी,woman,8,नारी   नारीम्   नार्या   नार्यै   नार्याः   नार्याः   नार्याम्   नारि,,
B087,bhaginii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",भगिनी,sister,8,भगिनी   भगिनीम्   भगिन्या   भगिन्यै   भगिन्याः   भगिन्याः   भगिन्याम्   भगिनि,,
B088,sakhii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",सखी,friend,8,सखी   सखीम्   सख्या   सख्यै   सख्याः   सख्याः   सख्याम्   सखि,,
B089,raajnyii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",राज्ञी,queen,8,राज्ञी   राज्ञीम्   राज्ञ्या   राज्ञ्यै   राज्ञ्याः   राज्ञ्याः   राज्ञ्याम्   राज्ञि,,
B090,kumaarii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",कुमारी,girl,8,कुमारी   कुमारीम्   कुमार्या   कुमार्यै   कुमार्याः   कुमार्याः   कुमार्याम्   कुमारि,,
B091,prithvii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",पृथ्वी,the earth,8,पृथ्वी   पृथ्वीम्   पृथ्व्या   पृथ्व्यै   पृथ्व्याः   पृथ्व्याः   पृथ्व्याम्   पृथ्वि,,
B092,vaanii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",वाणी,speech,8,वाणी   वाणीम्   वाण्या   वाण्यै   वाण्याः   वाण्याः   वाण्याम्   वाणि,,
B093,duuravaanii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",दूरवाणी,phone,8,दूरवाणी   दूरवाणीम्   दूरवाण्या   दूरवाण्यै   दूरवाण्याः   दूरवाण्याः   दूरवाण्याम्   दूरवाणि,,
B094,aasandii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",आसन्दी,chair,8,आसन्दी   आसन्दीम्   आसन्द्या   आसन्द्यै   आसन्द्याः   आसन्द्याः   आसन्द्याम्   आसन्दि,,
B095,kadalii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",कदली,banana plant,8,कदली   कदलीम्   कदल्या   कदल्यै   कदल्याः   कदल्याः   कदल्याम्   कदलि,,
B096,tarunii-eka,B tables,"एकवचनम्, स्त्रीलिङ्गम्",तरुणी,young woman,8,तरुणी   तरुणीम्   तरुण्या   तरुण्यै   तरुण्याः   तरुण्याः   तरुण्याम्   तरुणि,,
B097,vana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",वन,forest,8,वनम्   वनम्   वनेन   वनाय   वनात्   वनस्य   वने   वन,,
B098,jala-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",जल,water,8,जलम्   जलम्   जलेन   जलाय   जलात्   जलस्य   जले   जल,,
B099,mitra-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",मित्र,friend,8,मित्रम्   मित्रम्   मित्रेण   मित्राय   मित्रात्   मित्रस्य   मित्रे   मित्र,,
B100,dhana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",धन,wealth,8,धनम्   धनम्   धनेन   धनाय   धनात्   धनस्य   धने   धन,,
B101,griha-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",गृह,house,8,गृहम्   गृहम्   गृहेण   गृहाय   गृहात्   गृहस्य   गृहे   गृह,,
B102,phala-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",फल,fruit,8,फलम्   फलम्   फलेन   फलाय   फलात्   फलस्य   फले   फल,,
B103,kaarya-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",कार्य,work,8,कार्यम्   कार्यम्   कार्येण   कार्याय   कार्यात्   कार्यस्य   कार्ये   कार्य,,
B104,udyaana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",उद्यान,garden,8,उद्यानम्   उद्यानम्   उद्यानेन   उद्यानाय   उद्यानात्   उद्यानस्य   उद्याने   उद्यान,,
B105,satya-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",सत्य,truth,8,सत्यम्   सत्यम्   सत्येन   सत्याय   सत्यात्   सत्यस्य   सत्ये   सत्य,,
B106,duhkha-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",दुःख,sorrow,8,दुःखम्   दुःखम्   दुःखेन   दुःखाय   दुःखात्   दुःखस्य   दुःखे   दुःख,,
B107,prabhaata-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",प्रभात,morning,8,प्रभातम्   प्रभातम्   प्रभातेन   प्रभाताय   प्रभातात्   प्रभातस्य   प्रभाते   प्रभात,,
B108,pushpa-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",पुष्प,flower,8,पुष्पम्   पुष्पम्   पुष्पेण   पुष्पाय   पुष्पात्   पुष्पस्य   पुष्पे   पुष्प,,
B109,bala-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",बल,strength,8,बलम्   बलम्   बलेन   बलाय   बलात्   बलस्य   बले   बल,,
B110,mandira-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",मन्दिर,temple,8,मन्दिरम्   मन्दिरम्   मन्दिरेण   मन्दिराय   मन्दिरात्   मन्दिरस्य   मन्दिरे   मन्दिर,,
B111,kshetra-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",क्षेत्र,field,8,क्षेत्रम्   क्षेत्रम्   क्षेत्रेण   क्षेत्राय   क्षेत्रात्   क्षेत्रस्य   क्षेत्रे   क्षेत्र,,
B112,vacana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",वचन,word,8,वचनम्   वचनम्   वचनेन   वचनाय   वचनात्   वचनस्य   वचने   वचन,,
B113,mukha-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",मुख,face,8,मुखम्   मुखम्   मुखेन   मुखाय   मुखात्   मुखस्य   मुखे   मुख,,
B114,gagana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",गगन,sky,8,गगनम्   गगनम्   गगनेन   गगनाय   गगनात्   गगनस्य   गगने   गगन,,
B115,mauna-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",मौन,silence,8,मौनम्   मौनम्   मौनेन   मौनाय   मौनात्   मौनस्य   मौने   मौन,,
B116,varsha-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",वर्ष,year,8,वर्षम्   वर्षम्   वर्षेण   वर्षाय   वर्षात्   वर्षस्य   वर्षे   वर्ष,,
B117,jnyaana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",ज्ञान,knowledge,8,ज्ञानम्   ज्ञानम्   ज्ञानेन   ज्ञानाय   ज्ञानात्   ज्ञानस्य   ज्ञाने   ज्ञान,,
B118,pustaka-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",पुस्तक,book,8,पुस्तकम्   पुस्तकम्   पुस्तकेन   पुस्तकाय   पुस्तकात्   पुस्तकस्य   पुस्तके   पुस्तक,,
B119,vastra-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",वस्त्र,cloth,8,वस्त्रम्   वस्त्रम्   वस्त्रेण   वस्त्राय   वस्त्रात्   वस्त्रस्य   वस्त्रे   वस्त्र,,
B120,patra-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",पत्र,letter,8,पत्रम्   पत्रम्   पत्रेण   पत्राय   पत्रात्   पत्रस्य   पत्रे   पत्र,,
B121,bhojana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",भोजन,meal,8,भोजनम्   भोजनम्   भोजनेन   भोजनाय   भोजनात्   भोजनस्य   भोजने   भोजन,,
B122,netra-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",नेत्र,eye,8,नेत्रम्   नेत्रम्   नेत्रेण   नेत्राय   नेत्रात्   नेत्रस्य   नेत्रे   नेत्र,,
B123,citra-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",चित्र,picture,8,चित्रम्   चित्रम्   चित्रेण   चित्राय   चित्रात्   चित्रस्य   चित्रे   चित्र,,
B124,aasana-eka,B tables,"एकवचनम्, नपुंसकलिङ्गम्",आसन,seat,8,आसनम्   आसनम्   आसनेन   आसनाय   आसनात्   आसनस्य   आसने   आसन,,
B125,jana-bahu,B tables,"बहुवचनम्, पुंलिङ्गम्",जन,people,8,जनाः   जनान्   जनैः   जनेभ्यः   जनेभ्यः   जनानाम्   जनेषु   जनाः,,
B126,simha-bahu,B tables,"बहुवचनम्, पुंलिङ्गम्",सिंह,lions,8,सिंहाः   सिंहान्   सिंहैः   सिंहेभ्यः   सिंहेभ्यः   सिंहानाम्   सिंहेषु   सिंहाः,,
B127,vriksha-bahu,B tables,"बहुवचनम्, पुंलिङ्गम्",वृक्ष,trees,8,वृक्षाः   वृक्षान्   वृक्षैः   वृक्षेभ्यः   वृक्षेभ्यः   वृक्षाणाम्   वृक्षेषु   वृक्षाः,,
B128,baka-bahu,B tables,"बहुवचनम्, पुंलिङ्गम्",बक,cranes,8,बकाः   बकान्   बकैः   बकेभ्यः   बकेभ्यः   बकानाम्   बकेषु   बकाः,,
B129,cora-bahu,B tables,"बहुवचनम्, पुंलिङ्गम्",चोर,thieves,8,चोराः   चोरान्   चोरैः   चोरेभ्यः   चोरेभ्यः   चोराणाम्   चोरेषु   चोराः,,
